am_sid,loiczid,prob
Fis-23157,172502,0.05
Fis-29416,172502,0.09
Fis-23127,172502,0.03
Fis-29539,172502,0.15
Fis-23146,172502,0.16
Fis-23221,172502,0.35
Fis-23051,172502,1
Fis-23054,172502,0.87
Fis-23056,172502,0.3
Fis-23060,172502,1
Fis-23064,172502,0.05
Fis-23066,172502,0.5
Fis-23068,172502,0.44
Fis-23070,172502,0.64
Fis-29436,172502,0.22
Fis-23273,172502,1
Fis-23277,172502,1
Fis-24098,172502,0.83
Fis-24153,172502,0.1
Fis-20033,172502,0.98
Fis-21798,172502,1
Fis-24127,172502,1
Fis-25062,172502,0.26
Fis-25412,172502,1
Fis-31223,172502,0.2
Fis-31247,172502,0.19
Fis-25664,172502,1
Fis-31594,172502,0.12
Fis-61628,172502,0.02
Fis-32598,172502,0.2
Fis-32610,172502,0.39
Fis-163295,172502,0.41
Fis-29409,172502,0.31
Fis-160925,172502,0.82
Fis-23239,172502,0.38
Fis-6035,172502,0.28
Fis-159582,172502,0.8
Fis-161480,172502,0.89
Fis-24448,172502,0.51
Fis-26085,172502,0.91
Fis-26902,172502,1
Fis-26903,172502,0.4
Fis-26932,172502,0.61
Fis-27240,172502,1
Fis-28552,172502,0.51
Fis-28561,172502,0.82
Fis-28563,172502,0.42
Fis-31408,172502,1
Fis-32611,172502,1
Fis-32975,172502,0.78
Fis-35514,172502,1
Fis-47427,172502,0.37
Fis-57444,172502,0.36
Fis-58398,172502,0.9
Fis-61240,172502,0.15
Fis-61508,172502,1
Fis-31568,172502,0.56
Fis-30583,172502,1
Fis-29532,172502,0.28
Fis-29388,172502,0.64
Fis-23899,172502,1
Fis-23898,172502,1
Fis-23274,172502,0.95
Fis-23222,172502,0.11
Fis-23129,172502,0.9
Fis-23123,172502,0.03
Fis-23071,172502,1
Fis-23059,172502,1
Fis-23050,172502,0.22
Fis-22747,172502,0.73
Fis-23161,172502,0.02
Fis-23149,172502,0.06
Fis-29423,172502,0.45
Fis-161494,172502,0.39
Fis-25899,172502,0.74
Fis-58485,172502,0.02
Fis-48194,172502,0.53
Fis-32599,172502,0.68
Fis-30521,172502,1
Fis-23061,172502,0.28
Fis-23157,172503,1
Fis-29416,172503,1
Fis-23113,172503,1
Fis-23077,172503,1
Fis-23105,172503,0.99
Fis-29380,172503,1
Fis-23121,172503,0.31
Fis-23127,172503,0.97
Fis-29531,172503,1
Fis-23278,172503,1
Fis-29536,172503,1
Fis-29481,172503,1
Fis-29539,172503,1
Fis-23146,172503,0.55
Fis-23158,172503,1
Fis-23159,172503,0.46
Fis-23221,172503,0.91
Fis-23045,172503,1
Fis-23051,172503,1
Fis-23054,172503,0.93
Fis-23056,172503,1
Fis-23060,172503,1
Fis-23064,172503,1
Fis-23066,172503,1
Fis-23068,172503,0.59
Fis-23070,172503,0.67
Fis-29436,172503,0.75
Fis-23273,172503,1
Fis-23277,172503,1
Fis-24098,172503,1
Fis-24153,172503,0.65
Fis-20033,172503,1
Fis-21798,172503,1
Fis-24127,172503,1
Fis-25062,172503,1
Fis-25412,172503,1
Fis-170784,172503,1
Fis-31187,172503,1
Fis-31223,172503,1
Fis-31247,172503,1
Fis-25664,172503,1
Fis-31570,172503,0.39
Fis-31578,172503,1
Fis-25897,172503,1
Fis-25902,172503,1
Fis-31594,172503,0.55
Fis-61628,172503,1
Fis-30530,172503,1
Fis-32598,172503,1
Fis-131843,172503,1
