am_sid,spec_code,genus,species,f_bname,kingdom,phylum,class,order,family
Fis-22768,88,Lamna,nasus,Porbeagle,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae
Fis-22747,90,Cetorhinus,maximus,Basking shark,Animalia,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae
Fis-29532,139,Squalus,acanthias,Picked dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae
Fis-22814,140,Rhinobatos,percellens,Chola guitarfish,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae
Fis-29338,635,Chlamydoselachus,anguineus,Frilled shark,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Chlamydoselachidae
Fis-23149,636,Heptranchias,perlo,Sharpnose sevengill shark,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae
Fis-23157,637,Hexanchus,griseus,Bluntnose sixgill shark,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae
Fis-29416,638,Hexanchus,nakamurai,Bigeyed sixgill shark,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae
Fis-23113,641,Echinorhinus,brucus,Bramble shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Echinorhinidae
Fis-23075,648,Centrophorus,granulosus,Gulper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae
Fis-29320,650,Centrophorus,lusitanicus,Lowfin gulper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae
Fis-29321,651,Centrophorus,moluccensis,Smallfin gulper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae
Fis-23076,653,Centrophorus,squamosus,Leafscale gulper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae
Fis-23077,655,Centrophorus,uyato,Little gulper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae
Fis-23078,656,Centroscyllium,fabricii,Black dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae
Fis-29328,662,Centroscymnus,coelolepis,Portuguese dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae
Fis-23074,663,Centroscymnus,crepidater,Longnose velvet dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae
Fis-61506,666,Centroscymnus,owstonii,Roughskin dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae
Fis-23101,669,Dalatias,licha,Kitefin shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Dalatiidae
Fis-23103,670,Deania,calcea,Birdbeak dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae
Fis-23104,672,Deania,profundorum,Arrowhead dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae
Fis-23105,673,Deania,quadrispinosa,Longsnout dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae
Fis-29380,678,Etmopterus,gracilispinis,Broadbanded lanternshark,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae
Fis-23121,679,Etmopterus,granulosus,Southern lanternshark,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae
Fis-29382,682,Etmopterus,polli,African lanternshark,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae
Fis-23123,684,Etmopterus,pusillus,Smooth lanternshark,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae
Fis-29385,686,Etmopterus,sentosus,Thorny lanternshark,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae
Fis-23124,687,Etmopterus,spinax,Velvet belly,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae
Fis-23127,693,Euprotomicrus,bispinatus,Pygmy shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Dalatiidae
Fis-23161,696,Isistius,brasiliensis,Cookie cutter shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Dalatiidae
Fis-29421,697,Isistius,plutodus,Largetooth cookiecutter shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Dalatiidae
Fis-61628,701,Zameus,squamulosus,Velvet dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae
Fis-23260,704,Somniosus,rostratus,Little sleeper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae
Fis-29531,705,Squaliolus,laticaudus,Spined pygmy shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Dalatiidae
Fis-23278,707,Cirrhigaleus,asper,Roughskin spurdog,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae
Fis-51856,708,Squalus,blainville,Longnose spurdog,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae
Fis-29536,713,Squalus,mitsukurii,Shortspine spurdog,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae
Fis-23205,718,Oxynotus,centrina,Angular roughshark,Animalia,Chordata,Elasmobranchii,Squaliformes,Oxynotidae
Fis-29481,720,Pliotrema,warreni,Sixgill sawshark,Animalia,Chordata,Elasmobranchii,Pristiophoriformes,Pristiophoridae
Fis-29538,725,Squatina,aculeata,Sawback angelshark,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae
Fis-29539,726,Squatina,africana,African angelshark,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae
